_id|isPb|wpm|acc|rawWpm|consistency|charStats|mode|mode2|quoteLength|restartCount|testDuration|afkDuration|incompleteTestSeconds|punctuation|numbers|language|funbox|difficulty|lazyMode|blindMode|bailedOut|tags|timestamp
64b2eeba73193c702ee6f7f2||46.9|93.33|46.9|50.88|180,0,0,0|quote|5000|1|0|46.06|0|0|false|false|english|none|normal|false|false|false||1689448088505
64b2ee8373193c702ee6f6ad||55.46|95.95|55.46|63.65|140,0,0,0|quote|2341|1|0|30.29|0|0|false|false|english|none|normal|false|false|false||1689448033833
64b2ee6273193c702ee6f5ee||54.25|94.55|54.25|62.4|256,0,0,0|quote|849|1|0|56.63|1|0|false|false|english|none|normal|false|false|false||1689448000966
64b2ee2173193c702ee6f484||54.11|89.77|54.11|53.81|190,0,0,0|quote|138|1|0|42.14|0|0|false|false|english|none|normal|false|false|false||1689447936349
64b2edf073193c702ee6f35a||50.26|91.28|51.75|51.89|135,1,1,0|quote|5425|1|0|32.23|0|0|false|false|english|none|normal|false|false|false||1689447887014
64b2edc373193c702ee6f24b||47.38|91.13|47.38|56.03|180,0,0,0|quote|1520|1|0|45.59|0|0|false|false|english|none|normal|false|false|false||1689447841219
64b2048c73193c702e20848f||45.71|94|46.72|57.27|228,1,0,0|quote|2131|1|0|59.85|0|0|false|false|english|none|normal|false|false|false||1689388137584
64b1aa9c73193c702e777dd5||48.95|91.13|54.44|65.32|107,3,2,0|quote|2581|1|1|26.23|0|0.17|false|false|english|none|normal|false|false|false||1689365116426
64b1aa5a73193c702e777c19||50.94|91.3|50.94|59.02|165,0,0,0|quote|1207|1|0|38.87|0|0|false|false|english|none|normal|false|false|false||1689365050217
64b1aa3173193c702e777aff||56.64|94.55|58.49|61.44|184,0,0,1|quote|864|1|2|38.98|0|25.72|false|false|english|none|normal|false|false|false||1689365009321
64b1a98073193c702e77764f||55.77|93.3|55.77|58.2|166,0,0,0|quote|556|1|0|35.72|1|0|false|false|english|none|normal|false|false|false||1689364832373
64b1a94373193c702e741be1||52.94|86.61|62.35|62.37|90,5,1,0|quote|5019|1|0|20.4|0|0|false|false|english|none|normal|false|false|false||1689364771688
64b1a92d73193c702e70c297||56.55|92.57|60|60.6|131,2,0,0|quote|5058|1|0|27.8|0|0|false|false|english|none|normal|false|false|false||1689364749150
64b1a89473193c702e70be71||57.9|94.86|57.9|52.84|276,0,0,0|quote|1708|1|1|57.2|0|12.56|false|false|english|none|normal|false|false|false||1689364595992
64b1a77473193c702e70b73a||53.47|89.72|65.57|74.18|84,6,0,1|quote|1267|1|0|18.85|0|0|false|false|english|none|normal|false|false|false||1689364309345
64b1a76073193c702e70b6a7||50.1|88.49|50.93|57.16|121,0,0,1|quote|595|1|1|28.98|0|0.08|false|false|english|none|normal|false|false|false||1689364288402
64b1a73a73193c702e70b5a7||58.62|89.29|58.62|33.05|49,0,0,0|words|10||2|10.03|0|2.16|false|false|english|none|normal|false|false|false||1689364250857
64b1a72a73193c702e70b547||76.5|93.1|85.5|78.4|51,2,0,0|words|10||0|8|1|0|false|false|english|none|normal|false|false|false||1689364234735
64b1a72073193c702e70b4ff||56.85|85.71|65.32|69.22|47,4,1,0|words|10||4|9.92|0|8.25|false|false|english|none|normal|false|false|false||1689364224857
64b1a70873193c702e70b44c||67.79|92.73|75|61.11|47,1,0,0|words|10||0|8.32|0|0|false|false|english|none|normal|false|false|false||1689364201331
64b1a6fe73193c702e70b416||81.02|94.64|81.02|65.37|53,0,0,0|words|10||0|7.85|0|0|false|false|english|none|normal|false|false|false||1689364191373
64b1a6f573193c702e70b3ce||90.57|100|90.57|76.06|48,0,0,0|words|10||0|6.36|0|0|false|false|english|none|normal|false|false|false||1689364181588
64b1a6ed73193c702e70b39e||71.27|93.33|71.27|55.95|55,0,0,0|words|10||2|9.26|0|10.07|false|false|english|none|normal|false|false|false||1689364173575
64b1a6d473193c702e70b30a||90|100|90|73.65|48,0,0,0|words|10||0|6.4|0|0|false|false|english|none|normal|false|false|false||1689364149424
64b1a6cc73193c702e70b2ce||86.24|95.92|86.24|74.12|47,0,0,0|words|10||0|6.54|0|0|false|false|english|none|normal|false|false|false||1689364140793
64b1a6c473193c702e70b29c||73.5|90.74|73.5|67.93|49,0,0,0|words|10||0|8|0|0|false|false|english|none|normal|false|false|false||1689364132595
64b1a6ba73193c702e70b261||66.5|83.93|81.61|73.13|44,5,1,0|words|10||0|7.94|0|0|false|false|english|none|normal|false|false|false||1689364122405
64b1a6af73193c702e70b222||90.45|100|90.45|82.27|45,0,0,0|words|10||0|5.97|0|0|false|false|english|none|normal|false|false|false||1689364112226
64b1a6a873193c702e70b1fd||81.54|98.15|81.54|77.85|53,0,0,0|words|10||3|7.8|0|5.23|false|false|english|none|normal|false|false|false||1689364104488
64b1a69473193c702e70b175||90.66|98.25|90.66|67.51|55,0,0,0|words|10||2|7.28|0|5.78|false|false|english|none|normal|false|false|false||1689364084629
64b1a68273193c702e70b0fe|true|95.84|100|95.84|62.28|48,0,0,0|words|10||1|6.01|0|1.19|false|false|english|none|normal|false|false|false||1689364066928
64b1a67773193c702e70b0b5||48.65|83.87|56.76|42.29|48,4,1,0|words|10||0|11.84|0|0|false|false|english|none|normal|false|false|false||1689364055690
64b1a66973193c702e70b05b||86.56|100|86.56|59.5|44,0,0,0|words|10||0|6.1|0|0|false|false|english|none|normal|false|false|false||1689364041664
64b1a66173193c702e70b025||92.92|96.67|92.92|70.19|58,0,0,0|words|10||0|7.49|0|0|false|false|english|none|normal|false|false|false||1689364033817
64b1a65873193c702e70afed||81.76|95.38|81.76|71.19|59,0,0,0|words|10||0|8.66|0|0|false|false|english|none|normal|false|false|false||1689364024563
64b1a64b73193c702e70af90||68.46|96.09|70.69|68.97|123,2,1,0|words|25||1|21.56|0|1.66|false|false|english|none|normal|false|false|false||1689364011445
64b1a62b73193c702e70aec3||78.3|97.06|79.09|67.7|98,1,0,0|time|15||3|15.02|0|2.56|false|false|english|none|normal|false|false|false||1689363980136
64b1a5f473193c702e70ad50||51.31|89.86|51.31|59.54|192,0,0,0|quote|901|1|0|44.9|0|0|false|false|english|none|normal|false|false|false||1689363924872
64b1a5c473193c702e6d5352||48.8|86.06|53.9|63.87|134,5,0,1|quote|471|1|3|32.95|0|28.67|false|false|english|none|normal|false|false|false||1689363876997
64b1a55573193c702e69f810||58.63|91.14|59.73|64.46|214,1,0,0|quote|852|1|0|43.8|0|0|false|false|english|none|normal|false|false|false||1689363765148
64b1a52673193c702e69f6ed||47.94|87.3|51.88|51.23|158,5,0,1|quote|753|1|0|39.55|0|0|false|false|english|none|normal|false|false|false||1689363718561
64b1a4ad73193c702e69f3db||55.39|94.81|58.1|59.92|143,3,0,0|quote|3839|1|0|30.98|0|0|false|false|english|none|normal|false|false|false||1689363597898
64b1a48c73193c702e69f30f||40.39|82.31|42.39|39.69|101,2,0,0|quote|404|1|1|30.01|1|12.95|false|false|english|none|normal|false|false|false||1689363564447
64b1a45c73193c702e69f1dd||49.22|89.88|56.09|55.88|136,2,0,4|quote|5171|1|0|33.16|0|0|false|false|english|none|normal|false|false|false||1689363516482
64b1a0ca73193c702e632820||59.29|95.05|60.9|59.98|184,1,0,0|quote|1095|1|1|37.24|0|7.86|false|false|english|none|normal|false|false|false||1689362603044
64b1a09573193c702e6326cc||57.35|94.01|57.35|64.74|267,0,0,0|quote|1908|1|0|55.87|0|0|false|false|english|none|normal|false|false|false||1689362549166
64b1a03973193c702e632450||53.95|92.42|53.95|57.98|120,0,0,0|quote|4400|1|0|26.69|0|0|false|false|english|none|normal|false|false|false||1689362457392
64b1a00873193c702e6322fe||65.27|97.88|65.27|62.14|185,0,0,0|quote|6822|1|1|34.01|0|14.87|false|false|english|none|normal|false|false|false||1689362408758
64b19f0a73193c702e631bcf||53.34|91.42|55.66|58.4|207,3,0,0|quote|1372|1|0|46.57|0|0|false|false|english|none|normal|false|false|false||1689362154734
64b19eb973193c702e5fc0fb||50.01|93.06|50.01|54.74|160,0,0,0|quote|3147|1|0|38.39|0|0|false|false|english|none|normal|false|false|false||1689362073165
64b19e9073193c702e5c6745||49.39|91.19|49.39|55.89|176,0,0,0|quote|6359|1|0|42.76|0|0|false|false|english|none|normal|false|false|false||1689362032687
64b19e6373193c702e5c6621||54.64|95.52|54.64|54.91|190,0,0,0|quote|3036|1|0|41.73|0|0|false|false|english|none|normal|false|false|false||1689361987177
64b19e1173193c702e5c6401||47.3|89.96|49.18|57.18|226,1,0,0|quote|2943|1|2|57.34|0|2.58|false|false|english|none|normal|false|false|false||1689361904934
